type,name,label,hint,required,relevant,appearance,constraint,constraint_message,choice_filter,calculation,kuid,repeat_count
start,start,,,,,,,,,,,
end,end,,,,,,,,,,,
today,today,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,
text,enumerator_name,What is the enumerators name?,Sheeg magaca qofka xog-aruuriyaha:,true,,,,,,,,
text,enumerator_contact,For enumerators: please enter your contact number,Telefoonka qofka xog-aruuriyaha ah:,true,,numbers,"regex(., '^[0]{1}[0-9]{9}$')",Shoud be 10 digits and starts with 0,,,,
text,enumerator_agency,What organisation is conducting this survey?,Sheeg hey'adda sameynaysa xog-aruurinta?,true,,,,,,,,
begin_group,A,Introduction,HORDHAC,,,,,,,,,
select_one yes_no,consensus_note,"Hi my name is ${enumerator_name} and I work for ${enumerator_agency}. We are currently conducting a survey on household needs and would like to ask you some questions about your current access to food, income generating activities, health and WASH access. The survey usually takes around 45 minutes to complete. Any information you provide will be kept anonymous and confidential. This is voluntary and you can choose not to answer any question and/or quit at any point. However, we hope you do participate as your views are important. Do you have any questions? May I begin now?","Asalaamu Alaikum, Magaceygu waa ${enumerator_name} Waxaan la shaqeynayaa ${enumerator_agency}. Waxaan sameynaynaa xog-aruurin ku saabsan xaaladaha cuntada iyo nolol maalmeedka dadka deeegaanka , waxaan jeclahay inaan ku weydiiyo su'aalo ku saabsan xaaladaada ee helida cuntada iyo kaabayaasha dhaqaalaha. Wareysigaan wuxuu qaadanayaa ku dhawaad 45 daqiiqo. War bixin kasta aad noo sheegtid waxay noqon doontaa mid qarsoodi ah. Wareysiga waxba laguuguma siinaayo, waad diidi kartaa ka jawaabida su'aalaha qaarkood, ama wareysiga gabi ahaanba waad iska joojin kartaa. Hadaba, waxaan rajeynaynaa inaad nagala qeyb gali doontid maadaama ay aragtidaadu muhiim inooo tahay. Wax su'aalo ah miyaad i weydiineysaa? Ma bilaabi karnaa? ",true,,,,,,,,
note,declined_consent,"If the respondent has declined consent, please end the interview and delete the form.","Haddii uu qofka diido inuu ka qeyb qaato wareysiga, fadlan iska jooji wareysiga iskana xer foomka.",true,"selected(${consensus_note},'no')",,,,,,,
select_one region,region,What region is the assessment being conducted in?,Gobolkee laga qabanayaa xog-aruurinta?,true,,,,,,,,
select_one district,district,What district is the assessment being conducted in?,Sheeg degmadda laga aruurinaayo xogta?,true,,,,,region=${region},,,
select_one_external settlements,settlement,What is the name of the village/settlement (Not the IDP site name)?,Sheeg magaca xaafada/tuullada/deegaanka ama magaca meel aad ugu dhow meesha xogta lagu aruurinaayo,true,,,,,district=${district},,,
text,settlement_other,"If other, please specify","Wax kale, fadlan qeex:",true,"selected(${settlement},""other"")",,,,,,,
select_one yes_no,idp_settlement,Is this an IDP settlement? _(Only answer YES if the survey is collected inside an IDP settlement)_,Meeshaan ma tahay xero barakacayaal ay dagan yihiin?,true,,,,,,,,
text,idp_settlement_name,What is the name of the IDP site/settlement?,Sheeg magaca xerada/kaamka barakacaayaasha ee degan yihiin ee xogta laga aruurinaayo?,true,"selected(${idp_settlement},'yes')",,,,,,,
end_group,,,,,,,,,,,,
